Week,stocks,crypto
6/2/2019,12,5
6/9/2019,12,5
6/16/2019,12,8
6/23/2019,12,8
6/30/2019,11,7
7/7/2019,12,6
7/14/2019,12,5
7/21/2019,12,4
7/28/2019,13,4
8/4/2019,14,4
8/11/2019,14,4
8/18/2019,13,4
8/25/2019,12,4
9/1/2019,12,4
9/8/2019,13,4
9/15/2019,13,4
9/22/2019,12,5
9/29/2019,12,5
10/6/2019,12,4
10/13/2019,12,4
10/20/2019,12,4
10/27/2019,13,4
11/3/2019,14,4
11/10/2019,13,4
11/17/2019,14,4
11/24/2019,12,4
12/1/2019,13,4
12/8/2019,13,3
12/15/2019,13,4
12/22/2019,13,3
12/29/2019,16,4
1/5/2020,17,4
1/12/2020,17,5
1/19/2020,15,4
1/26/2020,16,4
2/2/2020,19,5
2/9/2020,18,8
2/16/2020,17,6
2/23/2020,28,5
3/1/2020,26,5
3/8/2020,48,6
3/15/2020,54,5
3/22/2020,47,4
3/29/2020,35,4
4/5/2020,35,6
4/12/2020,36,5
4/19/2020,38,5
4/26/2020,33,6
5/3/2020,30,6
5/10/2020,28,7
5/17/2020,29,6
5/24/2020,26,6
5/31/2020,31,6
6/7/2020,38,6
6/14/2020,28,6
6/21/2020,26,6
6/28/2020,23,5
7/5/2020,27,6
7/12/2020,26,7
7/19/2020,25,7
7/26/2020,25,9
8/2/2020,26,9
8/9/2020,25,9
8/16/2020,24,10
8/23/2020,26,8
8/30/2020,30,9
9/6/2020,22,8
9/13/2020,22,7
9/20/2020,21,6
9/27/2020,19,6
10/4/2020,20,5
10/11/2020,19,5
10/18/2020,18,6
10/25/2020,18,5
11/1/2020,19,6
11/8/2020,25,7
11/15/2020,24,8
11/22/2020,26,11
11/29/2020,28,9
12/6/2020,28,8
12/13/2020,26,10
12/20/2020,25,11
12/27/2020,29,14
1/3/2021,38,23
1/10/2021,41,21
1/17/2021,36,18
1/24/2021,79,25
1/31/2021,62,32
2/7/2021,55,42
2/14/2021,41,39
2/21/2021,40,37
2/28/2021,34,27
3/7/2021,33,32
3/14/2021,29,36
3/21/2021,27,33
3/28/2021,24,36
4/4/2021,24,42
4/11/2021,29,60
4/18/2021,29,77
4/25/2021,27,56
5/2/2021,31,82
5/9/2021,31,100
5/16/2021,26,90
5/23/2021,26,60
5/30/2021,29,45
6/6/2021,29,38
6/13/2021,25,33
6/20/2021,23,35
6/27/2021,22,27
7/4/2021,21,26
7/11/2021,21,24
7/18/2021,21,26
7/25/2021,21,29
8/1/2021,20,28
8/8/2021,20,37
8/15/2021,19,36
8/22/2021,20,39
8/29/2021,19,39
9/5/2021,18,46
9/12/2021,19,37
9/19/2021,20,38
9/26/2021,20,32
10/3/2021,22,41
10/10/2021,21,41
10/17/2021,22,46
10/24/2021,24,70
10/31/2021,23,81
11/7/2021,24,75
11/14/2021,23,73
11/21/2021,21,76
11/28/2021,22,72
12/5/2021,21,59
12/12/2021,21,54
12/19/2021,19,51
12/26/2021,22,56
1/2/2022,25,62
1/9/2022,25,57
1/16/2022,25,62
1/23/2022,26,54
1/30/2022,24,48
2/6/2022,21,48
2/13/2022,20,42
2/20/2022,23,39
2/27/2022,21,36
3/6/2022,23,38
3/13/2022,19,32
3/20/2022,21,34
3/27/2022,20,41
4/3/2022,22,35
4/10/2022,20,33
4/17/2022,20,31
4/24/2022,21,31
5/1/2022,19,30
5/8/2022,20,66
5/15/2022,19,39
5/22/2022,18,31
5/29/2022,16,28
6/5/2022,17,26
6/12/2022,11,25
