Week,day trading
6/2/2019,19
6/9/2019,20
6/16/2019,19
6/23/2019,19
6/30/2019,18
7/7/2019,20
7/14/2019,19
7/21/2019,17
7/28/2019,18
8/4/2019,20
8/11/2019,19
8/18/2019,18
8/25/2019,20
9/1/2019,19
9/8/2019,19
9/15/2019,19
9/22/2019,18
9/29/2019,18
10/6/2019,19
10/13/2019,18
10/20/2019,17
10/27/2019,19
11/3/2019,21
11/10/2019,20
11/17/2019,19
11/24/2019,17
12/1/2019,18
12/8/2019,18
12/15/2019,19
12/22/2019,36
12/29/2019,33
1/5/2020,22
1/12/2020,23
1/19/2020,27
1/26/2020,27
2/2/2020,27
2/9/2020,26
2/16/2020,24
2/23/2020,29
3/1/2020,31
3/8/2020,34
3/15/2020,41
3/22/2020,49
3/29/2020,42
4/5/2020,46
4/12/2020,47
4/19/2020,68
4/26/2020,49
5/3/2020,49
5/10/2020,46
5/17/2020,47
5/24/2020,41
5/31/2020,45
6/7/2020,64
6/14/2020,52
6/21/2020,43
6/28/2020,38
7/5/2020,41
7/12/2020,44
7/19/2020,41
7/26/2020,41
8/2/2020,40
8/9/2020,38
8/16/2020,39
8/23/2020,35
8/30/2020,40
9/6/2020,35
9/13/2020,35
9/20/2020,34
9/27/2020,32
10/4/2020,31
10/11/2020,29
10/18/2020,27
10/25/2020,24
11/1/2020,25
11/8/2020,33
11/15/2020,32
11/22/2020,37
11/29/2020,37
12/6/2020,37
12/13/2020,34
12/20/2020,43
12/27/2020,46
1/3/2021,46
1/10/2021,50
1/17/2021,46
1/24/2021,100
1/31/2021,84
2/7/2021,76
2/14/2021,59
2/21/2021,52
2/28/2021,44
3/7/2021,44
3/14/2021,40
3/21/2021,32
3/28/2021,32
4/4/2021,32
4/11/2021,41
4/18/2021,50
4/25/2021,41
5/2/2021,43
5/9/2021,42
5/16/2021,34
5/23/2021,36
5/30/2021,39
6/6/2021,35
6/13/2021,30
6/20/2021,29
6/27/2021,28
7/4/2021,26
7/11/2021,25
7/18/2021,25
7/25/2021,25
8/1/2021,25
8/8/2021,25
8/15/2021,27
8/22/2021,27
8/29/2021,26
9/5/2021,23
9/12/2021,26
9/19/2021,22
9/26/2021,23
10/3/2021,26
10/10/2021,26
10/17/2021,29
10/24/2021,31
10/31/2021,35
11/7/2021,35
11/14/2021,31
11/21/2021,26
11/28/2021,30
12/5/2021,28
12/12/2021,25
12/19/2021,28
12/26/2021,38
1/2/2022,27
1/9/2022,29
1/16/2022,25
1/23/2022,34
1/30/2022,28
2/6/2022,27
2/13/2022,24
2/20/2022,23
2/27/2022,22
3/6/2022,23
3/13/2022,25
3/20/2022,25
3/27/2022,25
4/3/2022,27
4/10/2022,24
4/17/2022,29
4/24/2022,44
5/1/2022,26
5/8/2022,23
5/15/2022,22
5/22/2022,21
5/29/2022,22
6/5/2022,22
